 Date,Column1,Team1,Team2,Venue,Result
 22nd October 2022,1,Australia , New Zealand,Sydney Cricket Ground,
 22nd October 2022,1,England , Afghanistan,Perth Stadium,
 23rd October 2022,1,Sri Lanka , Ireland,Bellerive Oval,
 23rd October  2022,1,India , Pakistan,Melbourne Cricket Ground,
 24th October 2022,1,Bangladesh , Netherlands,Bellerive Oval,
 24th October 2022,1,South Africa , Zimbabwae,Bellerive Oval,
 25th October 2022,1,Australia , Sri Lanka,Perth Stadium,
 26th October 2022,1,England , Ireland,Melbourne Cricket Ground,
 26th October 2022,1,New Zealand , Afghanistan,Melbourne Cricket Ground,
 27th October 2022,1,South Africa , Bangladesh,Sydney Cricket Ground,
 27th October 2022,1,India , Netherlands,Sydney Cricket Ground,
 27th October 2022,1,Pakistan , Ireland,Perth Stadium,
 28th October 2022,1,Afghanistan , Ireland,Melbourne Cricket Ground,
 28th October 2022,1,England , Australia,Melbourne Cricket Ground,
 29th October 2022,1,New Zealand , Sri Lanka,Sydney Cricket Ground,
 30th October 2022,1,Bangladesh , Zimbabwae,The Gabba,
 30th October 2022,1,Pakistan , Netherlands,Perth Stadium,
 30th October 2022,1,India , South Africa,Perth Stadium,
 31st October 2022,1,Australia , Ireland,The Gabba,
 1st November 2022,1,Afghanistan , Sri Lanka,The Gabba,
 1st November 2022,1,England , New Zealand,The Gabba,
 2nd November 2022,1,Zimbabwae , Netherlands,Adelaide Oval,
 2nd November 2022,1,India , Bangladesh,Adelaide Oval,
 3rd November 2022,1,Pakistan , South Africa,Sydney Cricket Ground,
 4th November 2022,1,New Zealand , Ireland,Adelaide Oval,
 4th November 2022,1,Australia , Afghanistan,Adelaide Oval,
 5th November 2022,1,England , Netherlands,Sydney Cricket Ground,
 6th November 2022,1,South Africa , Netherlands,Adelaide Oval,
 6th November 2022,1,Pakistan , Bangladesh,Adelaide Oval,
 6th November 2022,1,India , Zimbabwae,Melbourne Cricket Ground,
 9th November 2022,SEMI FINAL 1,To be Announced,To be Announced,Sydney Cricket Ground,
 10th November 2022,SEMI FINAL 2,To be Announced,To be Announced,Adelaide Oval,
 13th November 2022,FINAL,To be Announced,To be Announced,Melbourne Cricket Ground,
